playerName,bets,calls,checks,folds,raises,aggression
Richard,2,4,6,0,4,0.375
rkt,58,39,54,0,28,0.4804
ajc,13,17,17,0,11,0.4138
foldbot,3,1,6,0,2,0.4167
Quick,37,40,28,0,36,0.5177
Johnson,47,59,52,0,32,0.4158
kr,1,0,2,0,1,0.5
iota69,11,15,36,0,7,0.2609
PooBah,17,5,6,0,7,0.6857
AcesOver,15,23,19,0,9,0.3636
mescalito,5,7,10,0,5,0.3704
murph,5,6,28,0,5,0.2273
bobk,2,0,1,0,1,0.5
mbn,7,7,21,0,6,0.3171
kidZee,21,1,7,0,10,0.7949
jarkko,2,1,3,0,2,0.5
Onyx,6,5,5,0,2,0.4444
perkele,45,58,67,0,33,0.3842
slunk,35,32,66,0,40,0.4335
bmk,15,13,14,0,5,0.4255
ircuser,1,1,2,0,0,0.5
iota1,1,3,5,0,0,0.5
The_Big_H,75,45,48,0,80,0.625
kaos,1,7,12,0,1,0.0952
whitey,2,6,12,0,2,0.1818
akt,4,6,2,0,2,0.4286
Jakester,0,5,6,0,2,0.1538
lemur,0,1,2,0,0,0.5
KH^2,14,35,44,0,5,0.1939
Shazam,12,23,38,0,8,0.2469
Beatle,3,2,0,0,2,0.5
dum2,0,1,3,0,0,0.5
dum1,0,0,3,0,0,0.5
brian,63,97,113,0,55,0.3598
jamboy,13,5,3,0,36,0.8596
Newbie,37,6,11,0,20,0.7703
drr,65,71,65,0,48,0.4538
swan,4,2,1,0,1,0.5
Raven_Air,3,1,3,0,0,0.5
alx,162,88,173,0,128,0.5263
woody,0,4,3,0,1,0.5
Kai,7,28,26,0,1,0.129
deadman,2,4,4,0,3,0.3846
coal,12,3,14,0,8,0.5405
brucek,1,2,2,0,0,0.5
eun,0,4,7,0,0,0.0
suckfish,21,46,65,0,7,0.2014
Mazor,2,5,4,0,1,0.25
franzen,5,7,13,0,11,0.4444
derek,34,37,40,0,17,0.3984
Loboc-95,1,2,18,0,0,0.0476
FogDucker,13,12,33,0,5,0.2857
sk-2,9,5,6,0,3,0.5217
WndozeGui,1,2,5,0,1,0.5
rocky9,74,155,172,0,35,0.25
dtg,4,4,9,0,0,0.2353
Xdot,34,79,114,0,12,0.1925
dtm,5,9,3,0,2,0.3684
mew,2,5,19,0,1,0.1111
buffett,5,17,14,0,4,0.225
Rosie,4,15,24,0,1,0.1136
mbn2,11,17,14,0,10,0.4038
Timmy^,21,55,28,0,13,0.2906
cousin,10,16,21,0,4,0.2745
tyde,19,23,48,0,15,0.3238
chkit,27,72,84,0,16,0.2161
filth,15,13,30,0,11,0.3768
Burg,2,1,1,0,1,0.5
flopsy,3,1,0,0,2,0.5
Fuzzy,0,4,3,0,1,0.5
HickDead,0,1,2,0,0,0.5
burt,7,2,2,0,4,0.7333
Lev,39,64,63,0,29,0.3487
Scottie,3,12,12,0,0,0.1111
sport,8,4,28,0,2,0.2381
QRayZ,6,2,5,0,4,0.5882
miyake,0,1,3,0,0,0.5
bigboy,0,1,2,0,0,0.5
Forlorn,1,4,5,0,1,0.1818
caplaa,0,2,6,0,0,0.5
dasniper,11,16,27,0,8,0.3065
Raybould,3,6,9,0,1,0.2105
Elvis,0,3,3,0,3,0.5
Orgg,34,20,25,0,27,0.5755
phry,7,13,14,0,2,0.25
whiz2,61,125,172,0,38,0.25
tripper,2,3,5,0,1,0.2727
jwar,17,23,9,0,12,0.4754
Live_1,3,3,4,0,4,0.5
slap01,2,2,9,0,2,0.2667
slap02,84,77,89,0,60,0.4645
westy,2,3,6,0,0,0.1818
leo,137,209,240,0,178,0.4123
slap03,5,3,4,0,2,0.5
snowcone,8,12,10,0,7,0.4054
Ernie,0,2,4,0,1,0.5
Anton,1,0,5,0,1,0.5
iota,2,6,6,0,0,0.1429
kaishar,0,3,7,0,2,0.1667
MrKurtz,6,9,8,0,4,0.3704
puke,1,1,0,0,1,0.5
hammond,82,112,183,0,37,0.2874
rktbot,41,47,198,0,34,0.2344
fmBandit,29,59,56,0,18,0.2901
